Description,Place Type,Visitors,Europe,Americans,Oceania,Africa,Southeast Asia,North Asia,South Asia,Date,Url
Sentosa,Paid-access Attractions,29,154,54,41,36,111,146,51,2010,https://preparetravelplans.com/wp-content/uploads/2019/03/Things-to-do-in-Sentosa-Island-Guide-v1.jpg
Integrated Resort(MBS/RWS),Paid-access Attractions,12,42,20,21,12,52,92,9,2010,https://upload.wikimedia.org/wikipedia/commons/f/f9/Marina_Bay_Sands_in_the_evening_-_20101120.jpg
Singapore Flyer/Flight Experience,Paid-access Attractions,10,80,31,22,21,37,48,22,2010,http://www.stracocorp.com/images/4__.jpg
Night Safari,Paid-access Attractions,8,39,14,19,8,18,43,28,2010,http://1.bp.blogspot.com/-7AWuirR-TXs/UnTIvJ4qoEI/AAAAAAAAA6I/JZlpP68_J74/s1600/DSC_0519color.JPG
Singapore Zoo,Paid-access Attractions,7,56,20,18,12,24,26,14,2010,http://www.streetdirectory.com/stock_images/travel/simg_show/11048348074422/1/singapore_zoo/
Jurong Bird Park,Paid-access Attractions,6,18,14,7,8,22,32,21,2010,https://upload.wikimedia.org/wikipedia/commons/9/9a/Ara_ararauna_-Jurong_Bird_Park_-sign-8a.jpg
National Orchid Gardens,Paid-access Attractions,4,45,18,10,11,8,15,7,2010,https://i.pinimg.com/originals/11/38/bd/1138bd98551a5a178aebcb49433afdb7.jpg
Singapore Cable Car,Paid-access Attractions,1,7,3,4,5,3,4,2,2010,http://z-shibuya.cocolog-nifty.com/photos/uncategorized/2014/06/07/000singaporecablecar.jpg
Orchard Road,Free-access Attractions,46,300,101,89,53,201,203,30,2010,http://www.yoursingapore.com/see-do-singapore/places-to-see/orchard/jcr:content/par-carousel/carousel_detailpage/carousel/item_2.thumbnail.carousel-img.740.416.jpg
Chinatown,Free-access Attractions,31,287,90,66,49,105,169,33,2010,http://farm4.static.flickr.com/3509/4058184073_aa87b955c9.jpg
Little India,Free-access Attractions,25,258,74,58,41,74,81,62,2010,http://images.trvl-media.com/media/content/shared/images/travelguides/destination/180027/Little-India-39467.jpg
Singapore River,Free-access Attractions,19,253,53,54,37,61,102,19,2010,https://migachan.files.wordpress.com/2012/06/imgp5329.jpg
Merlion Park,Free-access Attractions,18,123,41,27,22,63,120,24,2010,https://www.visitsingapore.com/content/dam/desktop/global/see-do-singapore/recreation-leisure/merlionpark_carousel1_1640x640.jpeg
Raffles Hotel,Free-access Attractions,11,152,33,45,23,38,50,8,2010,https://kusuisland.files.wordpress.com/2011/07/20110118-_f1b5026_medium_resolution1.jpg
Esplanade Theatres by the Bay,Free-access Attractions,9,105,28,19,18,43,35,8,2010,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/The_Esplanade_%E2%80%93_Theatres_on_the_Bay.jpg/1200px-The_Esplanade_%E2%80%93_Theatres_on_the_Bay.jpg
Botanic Gardens,Free-access Attractions,7,81,31,19,25,17,37,9,2010,http://4.bp.blogspot.com/-XG2b3LgSRB0/U6JcApBHxfI/AAAAAAAAb48/010VFdx94RM/s1600/CIMG5008.JPG
Arab Street,Free-access Attractions,7,98,31,23,15,20,29,7,2010,http://www.everydayminimalist.com/wp-content/uploads/2011/09/Singapore-Arab-Street-Mosque-Row.jpg
Sentosa,Paid-access Attractions,31,146,47,51,43,114,169,53,2011,https://preparetravelplans.com/wp-content/uploads/2019/03/Things-to-do-in-Sentosa-Island-Guide-v1.jpg
Integrated Resort(MBS/RWS),Paid-access Attractions,24,110,41,47,32,113,144,32,2011,https://upload.wikimedia.org/wikipedia/commons/f/f9/Marina_Bay_Sands_in_the_evening_-_20101120.jpg
Singapore Flyer/Flight Experience,Paid-access Attractions,10,73,24,22,17,26,46,21,2011,http://www.stracocorp.com/images/4__.jpg
Night Safari,Paid-access Attractions,8,47,14,25,7,14,75,27,2011,http://1.bp.blogspot.com/-7AWuirR-TXs/UnTIvJ4qoEI/AAAAAAAAA6I/JZlpP68_J74/s1600/DSC_0519color.JPG
Singapore Zoo,Paid-access Attractions,6,44,17,18,10,18,22,14,2011,http://www.streetdirectory.com/stock_images/travel/simg_show/11048348074422/1/singapore_zoo/
Jurong Bird Park,Paid-access Attractions,5,17,5,9,3,12,32,18,2011,https://upload.wikimedia.org/wikipedia/commons/9/9a/Ara_ararauna_-Jurong_Bird_Park_-sign-8a.jpg
National Orchid Gardens,Paid-access Attractions,3,30,17,9,11,5,15,3,2011,https://i.pinimg.com/originals/11/38/bd/1138bd98551a5a178aebcb49433afdb7.jpg
Singapore Cable Car,Paid-access Attractions,1,10,2,6,3,5,8,5,2011,http://z-shibuya.cocolog-nifty.com/photos/uncategorized/2014/06/07/000singaporecablecar.jpg
Orchard Road,Free-access Attractions,45,271,97,88,51,194,209,34,2011,http://www.yoursingapore.com/see-do-singapore/places-to-see/orchard/jcr:content/par-carousel/carousel_detailpage/carousel/item_2.thumbnail.carousel-img.740.416.jpg
Chinatown,Free-access Attractions,30,255,80,69,48,91,177,26,2011,http://farm4.static.flickr.com/3509/4058184073_aa87b955c9.jpg
Little India,Free-access Attractions,23,226,63,59,47,59,128,59,2011,http://images.trvl-media.com/media/content/shared/images/travelguides/destination/180027/Little-India-39467.jpg
Singapore River,Free-access Attractions,19,234,67,55,40,48,104,16,2011,https://migachan.files.wordpress.com/2012/06/imgp5329.jpg
Merlion Park,Free-access Attractions,18,101,30,26,22,51,117,22,2011,https://www.visitsingapore.com/content/dam/desktop/global/see-do-singapore/recreation-leisure/merlionpark_carousel1_1640x640.jpeg
Raffles Hotel,Free-access Attractions,11,137,23,39,19,26,64,8,2011,https://kusuisland.files.wordpress.com/2011/07/20110118-_f1b5026_medium_resolution1.jpg
Esplanade Theatres by the Bay,Free-access Attractions,8,93,23,19,13,29,34,9,2011,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/The_Esplanade_%E2%80%93_Theatres_on_the_Bay.jpg/1200px-The_Esplanade_%E2%80%93_Theatres_on_the_Bay.jpg
Botanic Gardens,Free-access Attractions,6,77,30,18,15,13,35,6,2011,http://4.bp.blogspot.com/-XG2b3LgSRB0/U6JcApBHxfI/AAAAAAAAb48/010VFdx94RM/s1600/CIMG5008.JPG
